titol,preu,venedor,label,catalog_number,media_condition,sleeve_condition,rating,shipped_from,link
"Bill Brewster - After Dark (Vespertine) (2xLP, Comp, Ltd, Red)",€28.90,mvc.be,LateNightTales,ALNLP69,"Mint (M)

                    



                                                Absolutely perfect in every way",Mint (M),4.60,Ships From:Belgium,https://www.discogs.com/sell/item/3906188257
"Various - Now Yearbook '86 (3xLP, Comp, Ltd, Pur)",£27.99,Beautiful-Vinyl,Sony Music,"LPYBNOW86, 0196587627515","Mint (M)

                    



                                                Absolutely perfect in every way",Mint (M),4.34,Ships From:United Kingdom,https://www.discogs.com/sell/item/3661433790
"Coastlines (3) - Coastlines 2 (2xLP, Album, Ltd, RE)",£25.99,Beautiful-Vinyl,Be With Records,BEWITH123LP,"Mint (M)

                    



                                                Absolutely perfect in every way",Mint (M),4.50,Ships From:United Kingdom,https://www.discogs.com/sell/item/3879672925
Alan Palomo - World of Hassle (2xLP),£25.23,Beautiful-Vinyl,Transgressive Records,TRANS714X,"Mint (M)

                    



                                                Absolutely perfect in every way",Mint (M),4.50,Ships From:United Kingdom,https://www.discogs.com/sell/item/2755754668
"The Offline - La Couleur De La Mer (LP, Album)",£21.99,Beautiful-Vinyl,Root Records (7),RR01,"Mint (M)

                    



                                                Absolutely perfect in every way",Mint (M),4.82,Ships From:United Kingdom,https://www.discogs.com/sell/item/3674226316
"A Certain Ratio - 1982 (LP, Album, Ltd, Gre)",£22.26,Beautiful-Vinyl,Mute,LSTUMM480,"Mint (M)

                    



                                                Absolutely perfect in every way",Mint (M),4.39,Ships From:United Kingdom,https://www.discogs.com/sell/item/2755145587
"Monde UFO - 7171 (LP, Album, RE, Exp + 7"")",£23.99,Beautiful-Vinyl,Fire Records,FIRELP732,"Mint (M)

                    



                                                Absolutely perfect in every way",Mint (M),4.67,Ships From:United Kingdom,https://www.discogs.com/sell/item/3143731271
"The Cinematic Orchestra - Every Day (3xLP, Album, Dlx, Ltd, RE, Red)",£32.16,Beautiful-Vinyl,Ninja Tune,ZEN 59XX,"Mint (M)

                    



                                                Absolutely perfect in every way",Mint (M),4.70,Ships From:United Kingdom,https://www.discogs.com/sell/item/3128888089
"Bohren & Der Club Of Gore - Bohren For Beginners (3xLP, Comp, RE)",£20.28,Beautiful-Vinyl,[PIAS],PIASD5016LP3,"Mint (M)

                    



                                                Absolutely perfect in every way",Mint (M),4.69,Ships From:United Kingdom,https://www.discogs.com/sell/item/3398569065
Andrzej Korzyński - Tajemnica Enigmy (Secret Enigma - 1968-1981) (2xLP),£25.23,Beautiful-Vinyl,Finders Keepers Records,FKR055LPX,"Mint (M)

                    



                                                Absolutely perfect in every way",Mint (M),4.55,Ships From:United Kingdom,https://www.discogs.com/sell/item/2858603482
